MIROC,,CESM,,MPI,,Gilfillian,,UKESM,,CanESM,,IPSL,,CNRM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1931.9584775394276,27.739183737165263,1965.644689375563,49.6297175761714,1932.4828041608241,40.272645272571026,1930.3642965623346,39.84802837595157,1933.002099174017,59.0725377579239,1931.870315128949,70.30616939493325,1934.1674787980126,65.88553647665265,2000.2291392177265,351.71289631597426
1934.4940882684461,29.17830896489579,1972.4809499545702,66.73444047036014,1934.8562886763566,40.881737892764704,1934.543120464226,44.80788352799743,1941.6117138197546,71.00864239671921,1936.1043841167814,73.4122213812334,1935.847541127681,67.61302642188934,1931.1955892610677,101.57908015612713
1937.051733603729,32.55377718653722,1983.5773410132651,116.06981196479717,1938.2402147410253,45.31022318083956,1938.0368847795867,46.170285392024425,1950.2610803023383,76.37514037092546,1938.6525276721657,77.07079751573008,1938.2004433605034,73.12199779364107,1934.2273044330004,107.62084267078251
1939.6102264238682,36.003720138713675,1997.277301492288,192.94212512924014,1940.9521499356617,49.27432560118325,1941.7117090376614,52.12300203321411,1969.15797782318,96.73300584239871,1940.6440673370025,79.89476096954456,1942.6814076063865,79.475915564724,1937.6343974315212,112.68755287098736
1942.144142183174,37.293895905373915,2001.4442086377796,216.98055337063363,1943.4408419842,50.61551835716659,1946.1372889489123,56.1256140455024,1977.9820061375692,127.51121730656018,1943.033914934807,83.28351711412222,1951.7304911209721,82.7357860524479,1940.5479784113227,119.66874935070712
1944.666193154491,37.541425444543506,2006.7612806555535,251.52639468099312,1945.9544181069537,50.11830059098577,1950.1770034084782,60.18165358187025,1985.947324418852,163.33140400607488,1955.7278373340764,83.82333298704384,1962.3472217412645,91.93244386399726,1943.997021910232,128.42195871239664
1947.1857016712393,37.56553079210801,2009.1479739040624,270.0677243337637,1948.4867236450325,51.26697436962945,1953.1877433302168,64.38016651578334,1989.8109918885805,180.84771671539454,1959.9510302662527,85.9736259314775,1969.0473997047561,107.14147905195819,1947.789980360438,133.43524138852194
1949.7086001274126,37.88753506181263,2013.6799471441284,301.0299639364212,1951.055472097952,53.38195677757267,1956.7654086463544,73.11556670277969,2004.563965626827,263.0443135140304,1961.390627207252,88.3725877225528,1974.8581801551927,130.7334906477097,1951.5619635604498,136.60527448390496
1952.2238712198791,37.53926675670186,2018.3355732218172,332.79559519745914,1953.484295927863,53.42335447112748,1960.1829892699723,79.10390169335562,2007.5270605096025,275.2152354191504,1971.316918844214,105.32296443606754,1979.8343361987415,149.4085869903979,1956.1790910395116,146.11982606372715
1954.7399897972018,37.26547318212624,1930.3565792533009,27.849096926433276,1955.3922333309697,54.33133969516632,1963.6215451437843,86.93548626467395,2012.1480063343497,312.31900189469826,1974.0497989963467,117.38901009021663,1984.668581702612,171.71358889499015,1961.5259989215556,151.84102343390566
1957.2679731625133,38.03432583504127,1933.7217217514335,29.22930796515334,1959.0965736477083,57.84640306389747,1968.1520013060062,100.154346180674,2017.2830290108159,350.99261413949523,1991.4261929457607,187.65704052505964,1930.9047060744126,64.69627936658708,1964.8673958534305,162.45529155103077
1959.8078213158133,39.845824715446724,1935.9397555196074,31.691426366483142,1961.5251634294095,59.943703219997815,1971.3752640457499,111.70804826286337,1930.820805073636,57.32328104361761,1994.4281266965208,200.17423309241462,1932.5663020732848,63.543135305204714,1968.2297680354995,174.91280924889804
1962.390891196786,45.45553485313951,1938.960983066443,36.81156409076743,1964.2440687428148,67.42737926751226,1974.7690991031102,126.93044033184435,1934.9891413504301,61.361511405292276,1997.1865054826424,213.1393122690372,1940.0655476568568,77.27400899363317,1971.7102744097,186.43089298170105
1965.010402926581,54.267658403839164,1940.890310324869,36.54442647037001,1966.773131452047,70.80680508352998,1978.002849467951,139.4057672044048,1938.0523193976542,70.16814829106124,1999.8562678675767,228.3799092721489,1945.1447242793467,82.10919992282686,1974.7497068906666,204.47158694587483
1967.6078800501116,61.14343896062769,1943.4942095447282,38.95311734762015,1969.4029578009895,78.00962684832018,1981.5672568429281,158.29684926017717,1939.7244030216234,69.93662902005008,2002.4140303316628,243.8411421617369,1948.381244960251,83.50722013624022,1977.8653230633759,217.8863477834998
1970.2392565678952,70.99820873881811,1945.5206957450914,35.90329618141607,1972.6754877047986,88.86135062802066,1983.8901668620729,169.9752155652186,1943.378252029504,74.04609608049748,2005.2873259322655,259.52535251447404,1950.1819504014486,83.25789169053587,1980.6055614094973,232.27616093557526
1972.9062274496448,83.98091719948036,1947.620595321134,39.30484854781014,1975.6173522924091,100.84375912101825,1987.0267582849765,185.23322598358595,1945.8325541819406,74.62934655169852,2006.586091144498,266.319882459447,1946.7091613362818,83.73873940725127,1983.2591284387786,250.37028242382866
1975.5664184525435,96.36782781586203,1951.4687622128888,37.8489485166441,1978.5247242463668,109.79504608123943,1990.1633497078801,200.49123640195307,1948.4049905265085,74.27316305783529,1930.8390100077668,70.24383728350722,1953.6757147168094,84.62029355456286,1987.2094012654409,269.2079369555216
1978.0022840973256,106.29229237293816,1954.7157705188902,40.16859352042866,1981.3798110041034,124.21454119113696,1993.898329400474,223.05100844451698,1952.6704857452398,75.52870987370318,1933.4324216025288,71.73090337038627,1956.8045888306792,87.87937252341158,1990.1097243040817,286.3448153040174
1980.9520567922789,126.87620329982428,1958.574425035742,39.6343182796337,1984.761167424381,139.59820523095027,1996.9272742563433,240.17007761831968,1955.917494051241,77.84835487748774,1945.0265900872155,83.04863388789124,1958.4766724546485,87.64785325240052,1993.4588385449904,308.95801487066086
1983.6317399468733,140.9760327185121,1960.117886842483,39.420608183315835,1987.646539550934,153.6602306288122,1999.1110748331628,250.94462830768316,1958.2431743864493,78.44941452338185,1949.1529758636214,83.40036508808123,1960.566084405594,90.12778082842351,1996.0914303240775,325.20888677817186
1986.34786495029,158.27827555020679,1963.5249798410036,44.487318383520574,1990.2577251417727,169.79098954700385,2002.5888108912998,273.5400186996334,1962.4324859134376,84.3308944657989,1951.8645216505147,83.9479972098959,1964.27237153896,98.84537184072667,1999.0127286129127,344.1890147074101
1988.7109345584286,174.7436220893129,1969.470275992738,57.51027737789582,1993.5803366923415,185.04375615282243,2005.7673528145917,292.4845282794853,1966.64277269062,92.05562398895825,1953.9539336014604,86.42792478591889,1966.6504899996537,104.05455543847665,2003.3565842002938,374.97217316454186
1991.0893295177193,192.5557200055946,1974.8773393093009,79.83853014944873,1996.0971908225586,197.41321737581814,2009.4366364405396,320.5918582389694,1971.3990096120074,102.47399118445844,1958.069831752769,85.85803119573768,1971.4067269210411,114.47292263397696,2006.5351261235858,393.91668274439377
1993.8071494908486,210.00691229835934,1977.1268359527662,85.0655229218919,1998.940656421994,213.3271990620501,2012.6466412391228,342.3012421899348,1973.3045913041758,111.44091064246595,1963.0203865580306,90.71103129962444,1973.440930430438,123.42203291729118,2010.1072508075965,424.80669624968453
1996.1580718160467,225.40478769979666,1979.7489401067562,100.39477003903176,2001.350721463958,228.89093364598324,2015.3526463938895,365.00348763004405,1975.6065260731264,121.2760273667651,1966.1597482969976,94.89173505884446,1977.4883621990373,139.47700390317743,2008.545584066725,412.0998501061129
1998.541269189523,243.63890908911014,1985.8725258851407,129.085350469717,2003.8856046352225,245.36046264278252,2018.037676298462,385.8624834894109,1979.3652513319778,134.60174233092414,1968.5273791325942,99.17929386622336,1981.7273415354477,161.04391445659746,2012.9104149043005,444.72625814398714
2001.031934793991,261.2541616578362,1988.334545346611,141.66753239043646,2006.2008350367087,261.21571645532396,2019.2449404629397,401.3876315281756,1981.9454049855794,146.24449028657932,1976.6669634862449,123.89842834033323,1986.331211073349,180.7141479051959,2015.2962506740278,461.93437319125564
2003.5207170987783,278.70391482537343,1991.6836595875197,164.28073195707987,2008.8025198882858,279.96171027440965,,,1984.215876879239,153.31473263976488,1979.3337884566865,131.83686795981055,1988.1081709482892,189.69887653789635,2017.5534646265269,479.16029741321734
2006.0205167066977,297.1218394898661,1994.1142161736989,174.09803950668584,2010.9792627551344,295.14749459541014,,,1987.8984184463475,171.26638073047297,1982.0425639275168,143.46180674077254,1990.07667839104,204.19554473813093,2019.5639225696661,497.3434647749365
2008.2832118459758,314.82943592737155,1996.2980167505182,184.87259019604926,2013.7664305751748,313.66134595086373,,,1992.179348283146,196.5197904453778,1984.0872550620106,153.33254181445807,1993.320916380978,217.5924964010626,2020.4195544738132,504.60960804974684
2010.5427995407806,332.2639583529152,1999.8833993756896,205.606921832564,2016.2636406460333,331.8517089387215,,,1994.512745927388,209.11978154079043,1986.2605680137328,163.1854677134504,1995.6648016503168,231.11411228684642,1969.6970461504975,179.325032279129
2012.8117095690052,350.51770281434426,2004.355876780299,236.37227111500272,2018.0087638728799,344.32802520987616,,,1997.5207155330631,224.39560113385073,1988.8407216673345,174.82821566910548,1998.6832588810892,247.31155667027792,1958.9220997016964,149.4323325566554
2015.078893239189,368.6197394913501,2002.6655882221992,223.68323414612422,1930.6005649465972,37.969160445823036,,,1999.5549190424601,233.34471141716506,1993.1873475707791,194.53406746709004,2002.8355669006594,272.58277555987587,1953.5437289443612,140.9462608153633
2017.3626499465634,388.1781708988191,2007.8755633388246,262.6541606684376,2018.678608707697,351.6198928481322,,,2001.3843170428854,246.9375640017215,2007.3583057538476,273.8027040263575,2005.9274375071113,295.2315934759056,,
2018.871343553821,400.00346289507917,2010.9149958197909,280.6948546326115,,,,,2002.9040332833688,255.95791098380846,2009.2848626962102,284.61287306510735,2009.0088204884662,316.9587866015642,,
1930.367066878398,28.770721716804474,2012.048846608589,289.7686291387779,,,,,2006.0720875815637,273.9807957732892,2010.2691164175856,291.8612071652246,2012.3998852297632,343.2584853296923,,
2019.2659157131338,403.2308811089179,2014.8520107052927,309.6881910330805,,,,,2008.8437888029762,291.1354832964782,2012.1956733599482,302.6713762039743,2016.0481936055169,369.52256570843406,,
,,2016.7023839559124,325.12429319837935,,,,,2010.523589735979,302.9028954749855,2013.6182306584942,314.474406731868,2018.5731388175698,387.6344963713806,,
,,,,,,,,2013.4763509001054,324.6478977753372,2015.4266534087255,326.2240097356821,2019.161039462163,394.01463320520617,,
,,,,,,,,2015.5525049098906,337.2835072201362,2017.3636979761852,337.9558035648031,2000.7908757661655,262.71204048619046,,
,,,,,,,,2018.8254354590563,364.52263991332865,2018.6471458324058,348.8550184770187,2010.8696813641827,333.3165135572342,,
,,,,,,,,,,,,2014.1426119133484,360.5556462504266,,
,,,,,,,,,,,,2017.3526167119317,382.26503020139205,,
